,index,features,rank
8233,13091,FC_mean_13091,8233
8234,14344,FC_mean_14344,8233
8235,37712,FC_mean_37712,8235
8236,28339,FC_mean_28339,8236
8237,29602,FC_mean_29602,8237
8238,42853,FC_mean_42853,8238
8239,40117,FC_mean_40117,8239
8240,3100,FC_mean_3100,8239
8241,4443,FC_mean_4443,8241
8242,3337,FC_mean_3337,8241
8243,28293,FC_mean_28293,8243
8244,21644,FC_mean_21644,8243
8245,8549,FC_mean_8549,8245
8246,492,FC_mean_492,8246
8247,27002,FC_mean_27002,8248
8248,31724,FC_mean_31724,8248
8249,39807,FC_mean_39807,8248
8250,42478,FC_mean_42478,8250
8251,17438,FC_mean_17438,8251
8252,31706,FC_mean_31706,8252
8253,14074,FC_mean_14074,8252
8254,23638,FC_mean_23638,8254
8255,34282,FC_mean_34282,8254
8256,38056,FC_mean_38056,8256
8257,32127,FC_mean_32127,8257
8258,40174,FC_mean_40174,8258
8259,3202,FC_mean_3202,8259
8260,33353,FC_mean_33353,8260
8261,43967,FC_mean_43967,8261
8262,39261,FC_mean_39261,8262
8263,14326,FC_mean_14326,8264
8264,19962,FC_mean_19962,8264
8265,3131,FC_mean_3131,8264
8266,193,FC_mean_193,8266
8267,13342,FC_mean_13342,8267
8268,35648,FC_mean_35648,8268
8269,17455,FC_mean_17455,8269
8270,14420,FC_mean_14420,8270
8271,42430,FC_mean_42430,8271
8272,24370,FC_mean_24370,8272
8273,31000,FC_mean_31000,8273
8274,39924,FC_mean_39924,8274
8275,24021,FC_mean_24021,8275
8276,15859,FC_mean_15859,8275
8277,19051,FC_mean_19051,8277
8278,42307,FC_mean_42307,8278
8279,8871,FC_mean_8871,8278
8280,7010,FC_mean_7010,8280
8281,7739,FC_mean_7739,8281
8282,13784,FC_mean_13784,8282
8283,6790,FC_mean_6790,8283
8284,6294,FC_mean_6294,8284
8285,4785,FC_mean_4785,8285
8286,29745,FC_mean_29745,8285
8287,7346,FC_mean_7346,8287
8288,17111,FC_mean_17111,8288
8289,38283,FC_mean_38283,8288
8290,20115,FC_mean_20115,8290
8291,34653,FC_mean_34653,8291
8292,27323,FC_mean_27323,8291
8293,4034,FC_mean_4034,8293
8294,22810,FC_mean_22810,8294
8295,8594,FC_mean_8594,8295
8296,29961,FC_mean_29961,8296
8297,34830,FC_mean_34830,8297
8298,41473,FC_mean_41473,8298
8299,36550,FC_mean_36550,8299
8300,34535,FC_mean_34535,8300
8301,3855,FC_mean_3855,8300
8302,5601,FC_mean_5601,8302
8303,44564,FC_mean_44564,8302
8304,18952,FC_mean_18952,8304
8305,1769,FC_mean_1769,8305
8306,39587,FC_mean_39587,8306
8307,26499,FC_mean_26499,8307
8308,13669,FC_mean_13669,8308
8309,9202,FC_mean_9202,8308
8310,34662,FC_mean_34662,8310
8311,39750,FC_mean_39750,8311
8312,31989,FC_mean_31989,8312
8313,35357,FC_mean_35357,8313
8314,17719,FC_mean_17719,8314
8315,120,FC_mean_120,8315
8316,14779,FC_mean_14779,8316
8317,15201,FC_mean_15201,8317
8318,41888,FC_mean_41888,8318
8319,2412,FC_mean_2412,8319
8320,7184,FC_mean_7184,8319
8321,26538,FC_mean_26538,8321
8322,16229,FC_mean_16229,8321
8323,11793,FC_mean_11793,8323
8324,2773,FC_mean_2773,8323
8325,21394,FC_mean_21394,8325
8326,5609,FC_mean_5609,8326
8327,27814,FC_mean_27814,8326
8328,42031,FC_mean_42031,8328
8329,40149,FC_mean_40149,8329
8330,25192,FC_mean_25192,8330
8331,32746,FC_mean_32746,8331
8332,16223,FC_mean_16223,8332
8333,22110,FC_mean_22110,8333
8334,30663,FC_mean_30663,8334
8335,24226,FC_mean_24226,8335
8336,1600,FC_mean_1600,8336
8337,28083,FC_mean_28083,8337
8338,9697,FC_mean_9697,8338
8339,39868,FC_mean_39868,8339
8340,16602,FC_mean_16602,8340
8341,37228,FC_mean_37228,8340
8342,13659,FC_mean_13659,8342
8343,23090,FC_mean_23090,8342
8344,1685,FC_mean_1685,8344
8345,20472,FC_mean_20472,8345
8346,33188,FC_mean_33188,8346
8347,40422,FC_mean_40422,8347
8348,4062,FC_mean_4062,8347
8349,30060,FC_mean_30060,8350
8350,43196,FC_mean_43196,8350
8351,44442,FC_mean_44442,8350
8352,10286,FC_mean_10286,8352
8353,40481,FC_mean_40481,8353
8354,22097,FC_mean_22097,8354
8355,44305,FC_mean_44305,8355
8356,43152,FC_mean_43152,8356
8357,14496,FC_mean_14496,8357
8358,30132,FC_mean_30132,8357
8359,28836,FC_mean_28836,8359
8360,4080,FC_mean_4080,8360
8361,34520,FC_mean_34520,8360
8362,36221,FC_mean_36221,8362
8363,41477,FC_mean_41477,8363
8364,13380,FC_mean_13380,8364
8365,33953,FC_mean_33953,8365
8366,9095,FC_mean_9095,8365
8367,26081,FC_mean_26081,8367
8368,12078,FC_mean_12078,8368
8369,39049,FC_mean_39049,8369
8370,2065,FC_mean_2065,8370
8371,13905,FC_mean_13905,8371
8372,12825,FC_mean_12825,8372
8373,6421,FC_mean_6421,8373
8374,40208,FC_mean_40208,8374
8375,9709,FC_mean_9709,8375
8376,24019,FC_mean_24019,8376
8377,11737,FC_mean_11737,8377
8378,29479,FC_mean_29479,8378
8379,34855,FC_mean_34855,8379
8380,29167,FC_mean_29167,8380
8381,5644,FC_mean_5644,8380
8382,26695,FC_mean_26695,8382
8383,19301,FC_mean_19301,8382
8384,40242,FC_mean_40242,8384
8385,35330,FC_mean_35330,8384
8386,20370,FC_mean_20370,8386
8387,11102,FC_mean_11102,8387
8388,16694,FC_mean_16694,8388
8389,12776,FC_mean_12776,8389
8390,4639,FC_mean_4639,8389
8391,13544,FC_mean_13544,8391
8392,13577,FC_mean_13577,8392
8393,26619,FC_mean_26619,8392
8394,5917,FC_mean_5917,8394
8395,6827,FC_mean_6827,8395
8396,22918,FC_mean_22918,8396
8397,17333,FC_mean_17333,8397
8398,40080,FC_mean_40080,8398
8399,9466,FC_mean_9466,8398
8400,34506,FC_mean_34506,8400
8401,20896,FC_mean_20896,8401
8402,35915,FC_mean_35915,8402
8403,7927,FC_mean_7927,8402
8404,6519,FC_mean_6519,8404
8405,33083,FC_mean_33083,8405
8406,15120,FC_mean_15120,8406
8407,17893,FC_mean_17893,8406
8408,180,FC_mean_180,8408
8409,36547,FC_mean_36547,8409
8410,25361,FC_mean_25361,8410
8411,12125,FC_mean_12125,8410
8412,8071,FC_mean_8071,8412
8413,25767,FC_mean_25767,8413
8414,12084,FC_mean_12084,8414
8415,15335,FC_mean_15335,8414
8416,26100,FC_mean_26100,8416
8417,41184,FC_mean_41184,8417
8418,34522,FC_mean_34522,8418
8419,26211,FC_mean_26211,8420
8420,14195,FC_mean_14195,8420
8421,36952,FC_mean_36952,8420
8422,6889,FC_mean_6889,8422
8423,21758,FC_mean_21758,8423
8424,38146,FC_mean_38146,8423
8425,33166,FC_mean_33166,8425
8426,31526,FC_mean_31526,8426
8427,3381,FC_mean_3381,8427
8428,32861,FC_mean_32861,8427
8429,42712,FC_mean_42712,8429
8430,29370,FC_mean_29370,8429
8431,26920,FC_mean_26920,8431
8432,39410,FC_mean_39410,8431
8433,32332,FC_mean_32332,8433
8434,37804,FC_mean_37804,8434
8435,170,FC_mean_170,8435
8436,37997,FC_mean_37997,8436
8437,9114,FC_mean_9114,8437
8438,18129,FC_mean_18129,8438
8439,4532,FC_mean_4532,8439
8440,15532,FC_mean_15532,8440
8441,34994,FC_mean_34994,8440
8442,39904,FC_mean_39904,8442
8443,1500,FC_mean_1500,8443
8444,17562,FC_mean_17562,8444
8445,20653,FC_mean_20653,8445
8446,13396,FC_mean_13396,8445
8447,13120,FC_mean_13120,8447
8448,22377,FC_mean_22377,8447
8449,28899,FC_mean_28899,8449
8450,981,FC_mean_981,8450
8451,12183,FC_mean_12183,8451
8452,42364,FC_mean_42364,8451
8453,12956,FC_mean_12956,8453
8454,38490,FC_mean_38490,8454
8455,23474,FC_mean_23474,8454
8456,18960,FC_mean_18960,8456
8457,43173,FC_mean_43173,8456
8458,10237,FC_mean_10237,8458
8459,41803,FC_mean_41803,8459
8460,25730,FC_mean_25730,8460
8461,21763,FC_mean_21763,8461
8462,24330,FC_mean_24330,8462
8463,10095,FC_mean_10095,8463
8464,9544,FC_mean_9544,8463
8465,44689,FC_mean_44689,8465
8466,18232,FC_mean_18232,8466
8467,20084,FC_mean_20084,8467
8468,28133,FC_mean_28133,8468
8469,34883,FC_mean_34883,8469
8470,34566,FC_mean_34566,8470
8471,4528,FC_mean_4528,8471
8472,29382,FC_mean_29382,8473
8473,41516,FC_mean_41516,8473
8474,43260,FC_mean_43260,8473
8475,21756,FC_mean_21756,8475
8476,27297,FC_mean_27297,8476
8477,39699,FC_mean_39699,8476
8478,38398,FC_mean_38398,8478
8479,15679,FC_mean_15679,8478
8480,28301,FC_mean_28301,8480
8481,34992,FC_mean_34992,8481
8482,40748,FC_mean_40748,8482
8483,16766,FC_mean_16766,8483
8484,42408,FC_mean_42408,8484
8485,42274,FC_mean_42274,8484
8486,34208,FC_mean_34208,8486
8487,33919,FC_mean_33919,8487
8488,44470,FC_mean_44470,8488
8489,16135,FC_mean_16135,8488
8490,13869,FC_mean_13869,8490
8491,17983,FC_mean_17983,8491
8492,44695,FC_mean_44695,8491
8493,10912,FC_mean_10912,8493
8494,36453,FC_mean_36453,8494
8495,9400,FC_mean_9400,8495
8496,38306,FC_mean_38306,8496
8497,25006,FC_mean_25006,8496
8498,16785,FC_mean_16785,8499
8499,2444,FC_mean_2444,8499
8500,19757,FC_mean_19757,8499
8501,14941,FC_mean_14941,8501
8502,16787,FC_mean_16787,8502
8503,42325,FC_mean_42325,8503
8504,15801,FC_mean_15801,8505
8505,15762,FC_mean_15762,8505
8506,33167,FC_mean_33167,8505
8507,30989,FC_mean_30989,8507
8508,40020,FC_mean_40020,8507
8509,8440,FC_mean_8440,8509
8510,34126,FC_mean_34126,8510
8511,19809,FC_mean_19809,8512
8512,29214,FC_mean_29214,8512
8513,21220,FC_mean_21220,8512
8514,15730,FC_mean_15730,8514
8515,25276,FC_mean_25276,8515
8516,24103,FC_mean_24103,8515
8517,44135,FC_mean_44135,8517
8518,35700,FC_mean_35700,8519
8519,4250,FC_mean_4250,8519
8520,28313,FC_mean_28313,8519
8521,12826,FC_mean_12826,8519
8522,8142,FC_mean_8142,8522
8523,38474,FC_mean_38474,8523
8524,7777,FC_mean_7777,8524
8525,44456,FC_mean_44456,8525
8526,37324,FC_mean_37324,8525
8527,22144,FC_mean_22144,8527
8528,5626,FC_mean_5626,8528
8529,34337,FC_mean_34337,8530
8530,25030,FC_mean_25030,8530
8531,6347,FC_mean_6347,8530
8532,8699,FC_mean_8699,8532
8533,30974,FC_mean_30974,8533
8534,15720,FC_mean_15720,8534
8535,27934,FC_mean_27934,8534
8536,12297,FC_mean_12297,8536
8537,2716,FC_mean_2716,8537
8538,14544,FC_mean_14544,8538
8539,22892,FC_mean_22892,8540
8540,6493,FC_mean_6493,8540
8541,23189,FC_mean_23189,8540
8542,14618,FC_mean_14618,8542
8543,18719,FC_mean_18719,8542
8544,18866,FC_mean_18866,8544
8545,5876,FC_mean_5876,8544
8546,36797,FC_mean_36797,8546
8547,22052,FC_mean_22052,8546
8548,20778,FC_mean_20778,8548
8549,14929,FC_mean_14929,8549
8550,24706,FC_mean_24706,8550
8551,41665,FC_mean_41665,8551
8552,15194,FC_mean_15194,8551
8553,2833,FC_mean_2833,8553
8554,36704,FC_mean_36704,8555
8555,21207,FC_mean_21207,8555
8556,41095,FC_mean_41095,8555
8557,34028,FC_mean_34028,8555
8558,33103,FC_mean_33103,8558
8559,8942,FC_mean_8942,8559
8560,44277,FC_mean_44277,8560
8561,17877,FC_mean_17877,8561
8562,33683,FC_mean_33683,8562
8563,61,FC_mean_61,8562
8564,26923,FC_mean_26923,8564
8565,33984,FC_mean_33984,8565
8566,23544,FC_mean_23544,8566
8567,35438,FC_mean_35438,8567
8568,18615,FC_mean_18615,8568
8569,12009,FC_mean_12009,8569
8570,25071,FC_mean_25071,8570
8571,6464,FC_mean_6464,8571
8572,21914,FC_mean_21914,8572
8573,28032,FC_mean_28032,8573
8574,4260,FC_mean_4260,8574
8575,36746,FC_mean_36746,8575
8576,43582,FC_mean_43582,8577
8577,36242,FC_mean_36242,8577
8578,17919,FC_mean_17919,8577
8579,25769,FC_mean_25769,8579
8580,27460,FC_mean_27460,8579
8581,29219,FC_mean_29219,8581
8582,7606,FC_mean_7606,8582
8583,42758,FC_mean_42758,8584
8584,22400,FC_mean_22400,8584
8585,18825,FC_mean_18825,8584
8586,24516,FC_mean_24516,8586
8587,42281,FC_mean_42281,8587
8588,20326,FC_mean_20326,8587
8589,15653,FC_mean_15653,8589
8590,8795,FC_mean_8795,8590
8591,30834,FC_mean_30834,8591
8592,13930,FC_mean_13930,8591
8593,42186,FC_mean_42186,8593
8594,13340,FC_mean_13340,8594
8595,1173,FC_mean_1173,8595
8596,8171,FC_mean_8171,8596
8597,26720,FC_mean_26720,8596
8598,21328,FC_mean_21328,8598
