,index,features,rank
297,44741,FC_mean_44741,297
298,25428,FC_mean_25428,298
299,27226,FC_mean_27226,299
300,43458,FC_mean_43458,300
301,43663,FC_mean_43663,301
302,40222,FC_mean_40222,302
303,37907,FC_mean_37907,303
304,25311,FC_mean_25311,304
305,42789,FC_mean_42789,305
306,43301,FC_mean_43301,306
307,25156,FC_mean_25156,306
308,18729,FC_mean_18729,308
309,41564,FC_mean_41564,309
310,21585,FC_mean_21585,310
311,27632,FC_mean_27632,311
312,17363,FC_mean_17363,311
313,15374,FC_mean_15374,313
314,39902,FC_mean_39902,314
315,14233,FC_mean_14233,315
316,17362,FC_mean_17362,316
317,39619,FC_mean_39619,317
318,19142,FC_mean_19142,318
319,2262,FC_mean_2262,319
320,37799,FC_mean_37799,320
321,27555,FC_mean_27555,321
322,42542,FC_mean_42542,322
323,30551,FC_mean_30551,323
324,30584,FC_mean_30584,323
325,5319,FC_mean_5319,325
326,40681,FC_mean_40681,326
327,23738,FC_mean_23738,327
328,3860,FC_mean_3860,327
329,24427,FC_mean_24427,329
330,41019,FC_mean_41019,330
331,14604,FC_mean_14604,331
332,11610,FC_mean_11610,332
333,24034,FC_mean_24034,333
334,31070,FC_mean_31070,334
335,2680,FC_mean_2680,335
336,37685,FC_mean_37685,336
337,31380,FC_mean_31380,337
338,25431,FC_mean_25431,338
339,8826,FC_mean_8826,339
340,29673,FC_mean_29673,340
341,37038,FC_mean_37038,341
342,22822,FC_mean_22822,343
343,18217,FC_mean_18217,343
344,29188,FC_mean_29188,343
345,27075,FC_mean_27075,343
346,23423,FC_mean_23423,346
347,25641,FC_mean_25641,347
348,40090,FC_mean_40090,348
349,25497,FC_mean_25497,349
350,6937,FC_mean_6937,350
351,22869,FC_mean_22869,350
352,39941,FC_mean_39941,352
353,18458,FC_mean_18458,352
354,37783,FC_mean_37783,354
355,28101,FC_mean_28101,355
356,37655,FC_mean_37655,355
357,30960,FC_mean_30960,357
358,38018,FC_mean_38018,358
359,13196,FC_mean_13196,359
360,21153,FC_mean_21153,360
361,21161,FC_mean_21161,361
362,13923,FC_mean_13923,362
363,42708,FC_mean_42708,363
364,30934,FC_mean_30934,365
365,20693,FC_mean_20693,365
366,22291,FC_mean_22291,365
367,21112,FC_mean_21112,367
368,40748,FC_mean_40748,367
369,29512,FC_mean_29512,369
370,39275,FC_mean_39275,370
371,41401,FC_mean_41401,371
372,38550,FC_mean_38550,372
373,5034,FC_mean_5034,373
374,37532,FC_mean_37532,374
375,3372,FC_mean_3372,375
376,44625,FC_mean_44625,376
377,40235,FC_mean_40235,377
378,17947,FC_mean_17947,378
379,9638,FC_mean_9638,378
380,17272,FC_mean_17272,380
381,43624,FC_mean_43624,381
382,20035,FC_mean_20035,382
383,31254,FC_mean_31254,384
384,39305,FC_mean_39305,384
385,29951,FC_mean_29951,384
386,10657,FC_mean_10657,386
387,4339,FC_mean_4339,388
388,724,FC_mean_724,388
389,39914,FC_mean_39914,388
390,19901,FC_mean_19901,390
391,44759,FC_mean_44759,391
392,41831,FC_mean_41831,392
393,39133,FC_mean_39133,393
394,1467,FC_mean_1467,394
395,39378,FC_mean_39378,395
396,43897,FC_mean_43897,396
397,43829,FC_mean_43829,397
398,14402,FC_mean_14402,398
399,29516,FC_mean_29516,398
400,43673,FC_mean_43673,400
401,17502,FC_mean_17502,401
